,attribute,value
0,1y Target Est,274.11
1,52 Week Range,101.88 - 290.23
2,Ask,235.50 x 900
3,Avg. Volume,3052959.0
4,Beta (5Y Monthly),0.8
5,Bid,231.51 x 900
6,Day's Range,227.16 - 236.11
7,EPS (TTM),-1.31
8,Earnings Date,"Jun 02, 2021 - Jun 07, 2021"
9,Ex-Dividend Date,
10,Forward Dividend & Yield,N/A (N/A)
11,Market Cap,45.195B
12,Open,227.43
13,PE Ratio (TTM),
14,Previous Close,230.02
15,Quote Price,232.3000030517578
16,Volume,1584904.0
