,attribute,value
0,Beta (5Y Monthly),-1.48
1,52-Week Change 3,114.66%
2,S&P500 52-Week Change 3,46.25%
3,52 Week High 3,588.84
4,52 Week Low 3,132.67
5,Current Ratio (mrq),3.80
6,Book Value Per Share (mrq),13.15
7,Operating Cash Flow (ttm),1.47B
8,Levered Free Cash Flow (ttm),1.35B
