,attribute,value
0,Beta (5Y Monthly),1.89
1,52-Week Change 3,222.40%
2,S&P500 52-Week Change 3,45.22%
3,52 Week High 3,98.44
4,52 Week Low 3,18.34
5,Current Ratio (mrq),6.68
6,Book Value Per Share (mrq),5.73
7,Operating Cash Flow (ttm),61.27M
8,Levered Free Cash Flow (ttm),45.71M
