,attribute,value
0,1y Target Est,253.0
1,52 Week Range,150.75 - 401.81
2,Ask,283.53 x 1100
3,Avg. Volume,120777.0
4,Beta (5Y Monthly),1.37
5,Bid,282.40 x 1000
6,Day's Range,272.89 - 283.98
7,EPS (TTM),5.0
8,Earnings Date,"May 07, 2021"
9,Ex-Dividend Date,"May 14, 2021"
10,Forward Dividend & Yield,1.60 (0.59%)
11,Market Cap,17.838B
12,Open,271.19
13,PE Ratio (TTM),56.83
14,Previous Close,268.96
15,Quote Price,283.9800109863281
16,Volume,56091.0
