,attribute,value
0,1y Target Est,478.06
1,52 Week Range,149.16 - 588.84
2,Ask,306.25 x 1100
3,Avg. Volume,4205538.0
4,Beta (5Y Monthly),-1.49
5,Bid,306.25 x 1000
6,Day's Range,292.15 - 308.33
7,EPS (TTM),2.25
8,Earnings Date,"Jun 01, 2021"
9,Ex-Dividend Date,
10,Forward Dividend & Yield,N/A (N/A)
11,Market Cap,90.478B
12,Open,292.15
13,PE Ratio (TTM),136.44
14,Previous Close,290.16
15,Quote Price,307.2690124511719
16,Volume,2288031.0
