,attribute,value
0,1y Target Est,81.9
1,52 Week Range,18.34 - 98.44
2,Ask,71.33 x 800
3,Avg. Volume,1756057.0
4,Beta (5Y Monthly),1.89
5,Bid,71.08 x 900
6,Day's Range,68.85 - 70.66
7,EPS (TTM),-0.23
8,Earnings Date,"May 05, 2021"
9,Ex-Dividend Date,
10,Forward Dividend & Yield,N/A (N/A)
11,Market Cap,7.302B
12,Open,70.0
13,PE Ratio (TTM),
14,Previous Close,70.75
15,Quote Price,70.04000091552734
16,Volume,1474478.0
