,attribute,value
0,Beta (5Y Monthly),1.23
1,52-Week Change 3,13.11%
2,S&P500 52-Week Change 3,45.22%
3,52 Week High 3,144.74
4,52 Week Low 3,105.92
5,Current Ratio (mrq),0.93
6,Book Value Per Share (mrq),23.94
7,Operating Cash Flow (ttm),18.63B
8,Levered Free Cash Flow (ttm),16.39B
