,attribute,value
0,1y Target Est,143.63
1,52 Week Range,105.92 - 148.74
2,Ask,144.60 x 900
3,Avg. Volume,5795301.0
4,Beta (5Y Monthly),1.23
5,Bid,144.60 x 900
6,Day's Range,143.96 - 145.69
7,EPS (TTM),5.98
8,Earnings Date,"Jul 19, 2021"
9,Ex-Dividend Date,"May 07, 2021"
10,Forward Dividend & Yield,6.56 (4.55%)
11,Market Cap,129.284B
12,Open,145.11
13,PE Ratio (TTM),24.2
14,Previous Close,144.17
15,Quote Price,144.69000244140625
16,Volume,1315995.0
