,attribute,value
0,Beta (5Y Monthly),1.42
1,52-Week Change 3,81.04%
2,S&P500 52-Week Change 3,46.25%
3,52 Week High 3,401.81
4,52 Week Low 3,150.75
5,Current Ratio (mrq),2.59
6,Book Value Per Share (mrq),-4.50
7,Operating Cash Flow (ttm),525.9M
8,Levered Free Cash Flow (ttm),397.43M
