,attribute,value
0,Beta (5Y Monthly),0.80
1,52-Week Change 3,107.70%
2,S&P500 52-Week Change 3,45.22%
3,52 Week High 3,290.23
4,52 Week Low 3,100.71
5,Current Ratio (mrq),1.06
6,Book Value Per Share (mrq),1.69
7,Operating Cash Flow (ttm),296.95M
8,Levered Free Cash Flow (ttm),540.45M
