symbol,beta,52wk-change,52wk-change-sp500,52wk-high,52wk-low,50day-moving-avg,200day-moving-avg,avg-vol-3month,avg-vol-10day,shares-outstanding,float,insider-pct,institutional-pct,shares-short,short-ratio,short-pct-float,short-pct-shares-outstanding,shares-short,forward-annual-div,forward-div,trailing-div,trailing-annual-div,5yr-avg-div-yield,payout-ratio,div-date,xdiv-date,last-split-factor,last-split-date,fiscal-year-ends,most-recent-qtr,profit-margin,operating-margin,return-on-assets,return-on-equity,revenue,revenue-per-share,quarterly-revenue,gross-profit,ebitda,netincome-avail-to-common,diluted-eps,qtr-earnings-growth,total-cash,total-cash-per-share,total-debt,total-debit-to-equity,current-ratio,book-value,operating-cash-flow,levered-free-cash-flow
tmo,1.05,32.46%,5.66%,395.00,250.21,354.34,328.05,1.55M,1.29M,394.95M,394.01M,0.21%,93.01%,3.66M,2.59,0.93%,0.93%,3.51M,0.88,0.23%,0.79,0.20%,0.33,8.66%,"Jul 14, 2020","Jun 11, 2020",3:2,"Jun 05, 1996","Dec 30, 2019","Mar 27, 2020",14.31%,16.63%,4.66%,13.04%,25.65B,64.24,1.70%,11.34B,6.56B,3.67B,9.12,-3.30%,2.98B,7.55,20B,70.03,2.32,72.31,4.68B,3.2B
vtr,1.17,-47.73%,5.66%,75.40,13.35,37.86,41.50,4.14M,2.85M,373.08M,371.57M,0.41%,91.86%,10.8M,2.42,3.78%,2.90%,10.94M,1.8,5.24%,3.17,9.23%,5.21,150.95%,"Jul 13, 2020","Jun 29, 2020",8757:10000,"Aug 17, 2015","Dec 30, 2019","Mar 30, 2020",19.94%,21.17%,2.10%,7.37%,3.91B,10.58,5.80%,2.05B,1.76B,780.35M,2.09,276.10%,2.85B,7.63,14.42B,132.15,3.04,28.50,1.42B,1.29B
chd,0.32,9.96%,5.66%,83.04,47.98,76.19,72.24,1.53M,1.53M,245.89M,245.25M,0.20%,86.36%,7.37M,4.84,3.42%,3.00%,7.72M,0.96,1.17%,0.92,1.13%,1.43,34.68%,"May 31, 2020","May 13, 2020",2:1,"Sep 01, 2016","Dec 30, 2019","Mar 30, 2020",14.96%,19.67%,8.19%,25.20%,4.48B,18.20,11.50%,1.98B,1.05B,670M,2.66,30.80%,1.05B,4.26,2.95B,104.61,1.03,11.47,963.1M,729.2M
ctsh,1.15,-15.25%,5.66%,71.48,40.01,55.30,56.75,3.6M,2.47M,540.58M,538.66M,0.24%,95.10%,12.02M,3.56,2.23%,2.22%,10.86M,0.88,1.58%,0.82,1.48%,N/A,25.71%,"May 28, 2020","May 18, 2020",2:1,"Mar 09, 2014","Dec 30, 2019","Mar 30, 2020",10.46%,17.08%,10.76%,16.26%,16.9B,30.60,2.80%,6.15B,3.39B,1.77B,3.19,-16.80%,4.28B,7.92,3.4B,32.03,2.90,19.62,2.73B,2.43B
expe,1.58,-38.00%,5.66%,144.00,40.76,84.23,85.00,4.65M,4M,135.46M,126.33M,0.70%,107.95%,13.14M,2.27,11.03%,9.32%,13.23M,N/A,N/A,1.34,1.64%,0.97,N/A,"Mar 25, 2020","Mar 08, 2020",1:2,"Dec 20, 2011","Dec 30, 2019","Mar 30, 2020",-5.43%,6.12%,2.16%,-15.42%,11.67B,80.22,-15.30%,9.9B,1.07B,-633M,-4.36,N/A,4.1B,29.07,7.38B,197.19,0.80,16.10,-166M,-1.47B
bkng,1.05,-9.27%,5.66%,2094.00,1107.29,1670.17,1651.90,566.85k,355.2k,40.93M,40.79M,0.35%,96.71%,1.24M,1.75,3.04%,3.03%,1.51M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,1:6,"Jun 15, 2003","Dec 30, 2019","Mar 30, 2020",23.43%,34.23%,15.44%,63.30%,14.52B,344.79,-19.40%,15.07B,5.44B,3.4B,80.16,N/A,7.19B,175.64,9.21B,240.51,2.24,93.60,4.34B,2.97B
nlsn,1.23,-37.51%,5.66%,24.69,11.62,14.98,16.38,4.03M,2.28M,356.48M,327.22M,0.66%,107.57%,30.25M,7.18,9.80%,8.49%,26.37M,0.24,1.67%,0.82,5.69%,4.05,N/A,"Jun 17, 2020","Jun 02, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",-7.33%,11.35%,3.08%,-17.74%,6.49B,18.24,-0.30%,3.68B,1.11B,-476M,-1.34,N/A,359M,1.01,8.95B,401.12,0.78,5.73,1.1B,527.62M
ppg,1.28,-9.06%,5.66%,134.36,69.77,105.66,104.73,1.73M,1.34M,235.92M,235.47M,0.42%,78.90%,3.1M,1.56,1.32%,1.32%,2.52M,2.04,1.94%,2.01,1.91%,1.60,40.77%,"Jun 11, 2020","May 07, 2020",2:1,"Jun 14, 2015","Dec 30, 2019","Mar 30, 2020",7.88%,11.91%,6.26%,24.37%,14.9B,62.90,-6.80%,6.53B,2.3B,1.17B,4.93,-22.10%,1.94B,8.23,7B,144.72,1.36,20.02,1.99B,1.43B
slb,2.12,-56.04%,5.66%,41.14,11.87,19.16,23.41,16.73M,10.56M,1.39B,1.38B,0.17%,79.70%,27.91M,1.75,2.02%,2.01%,27.52M,0.5,2.92%,2.00,11.68%,3.96,N/A,"Jul 08, 2020","Jun 01, 2020",2:1,"Apr 09, 2006","Dec 30, 2019","Mar 30, 2020",-55.19%,8.80%,3.00%,-68.20%,32.49B,23.45,-5.40%,4.2B,6.34B,-17.93B,-12.95,N/A,3.34B,2.41,16.64B,104.12,1.23,11.21,5.89B,3.75B
agn,N/A,N/A,N/A,202.21,156.06,193.02,187.79,4.99M,12.44M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.96,1.53%,N/A,N/A,"May 07, 2020",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.65B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
