symbol,beta,52wk-change,52wk-change-sp500,52wk-high,52wk-low,50day-moving-avg,200day-moving-avg,avg-vol-3month,avg-vol-10day,shares-outstanding,float,insider-pct,institutional-pct,shares-short,short-ratio,short-pct-float,short-pct-shares-outstanding,shares-short,forward-annual-div,forward-div,trailing-div,trailing-annual-div,5yr-avg-div-yield,payout-ratio,div-date,xdiv-date,last-split-factor,last-split-date,fiscal-year-ends,most-recent-qtr,profit-margin,operating-margin,return-on-assets,return-on-equity,revenue,revenue-per-share,quarterly-revenue,gross-profit,ebitda,netincome-avail-to-common,diluted-eps,qtr-earnings-growth,total-cash,total-cash-per-share,total-debt,total-debit-to-equity,current-ratio,book-value,operating-cash-flow,levered-free-cash-flow
omc,0.74,-35.92%,5.66%,85.05,46.37,55.46,62.73,2.81M,2.23M,214.28M,212.72M,0.87%,107.51%,17.86M,6.22,9.54%,8.34%,20.78M,2.6,5.03%,2.60,5.03%,3.05,42.76%,"Jul 09, 2020","Jun 10, 2020",2:1,"Jun 25, 2007","Dec 30, 2019","Mar 30, 2020",8.96%,13.88%,5.28%,44.90%,14.89B,68.26,-1.80%,2.71B,2.3B,1.33B,6.09,-1.90%,2.69B,12.57,6.33B,202.40,0.92,11.42,1.26B,1.16B
zbra,1.66,32.09%,5.66%,278.60,150.06,260.29,231.76,379.54k,276.73k,53.09M,52.57M,1.12%,93.18%,657.57k,1.78,1.43%,1.24%,972.91k,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,3:2,"Aug 25, 2004","Dec 30, 2019","Mar 27, 2020",11.59%,16.01%,9.82%,32.44%,4.47B,82.86,-1.30%,2.1B,878M,518M,9.50,-22.60%,24M,0.45,1.54B,89.17,0.85,32.54,751M,606.63M
cboe,0.51,-19.74%,5.66%,127.93,72.01,98.44,104.98,854.44k,749.2k,109.72M,108.75M,0.52%,85.96%,2.55M,2.87,2.98%,2.28%,2.58M,1.44,1.60%,1.08,1.20%,1.20,35.55%,"Jun 14, 2020","May 27, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",15.52%,24.84%,8.27%,13.11%,2.82B,25.33,52.90%,1.14B,857.3M,435.1M,4.55,65.00%,208.8M,1.9,1.01B,30.39,1.76,28.09,678.1M,601.08M
bkr,1.70,-39.04%,5.66%,25.99,9.12,16.07,16.87,6.54M,5.42M,655.04M,653.39M,0.20%,95.34%,19.5M,3.18,3.90%,1.89%,20.14M,0.72,4.64%,N/A,N/A,N/A,N/A,"Jun 04, 2020","May 21, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",-42.77%,6.72%,2.20%,-59.91%,23.65B,40.12,-3.40%,4.43B,3.01B,-10.11B,N/A,N/A,3.01B,4.59,6.5B,36.11,1.45,N/A,2.79B,3.32B
pkg,1.27,1.82%,5.66%,114.78,71.05,100.88,96.61,753.29k,654.03k,94.84M,92.45M,1.52%,94.95%,2.62M,4.01,3.61%,2.76%,1.72M,3.16,3.31%,3.16,3.31%,2.88,46.06%,"Jul 14, 2020","Jun 11, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",9.39%,14.56%,8.85%,21.91%,6.94B,73.94,-1.40%,1.64B,1.4B,646.3M,6.86,-24.10%,856.3M,9.12,2.74B,86.86,3.51,33.53,1.21B,681M
mro,3.40,-60.31%,5.66%,14.39,3.02,6.21,7.45,39.42M,28.53M,790.31M,787.72M,0.33%,87.78%,45.68M,1.05,7.48%,5.78%,65.37M,N/A,N/A,0.15,2.85%,2.19,62.50%,"Mar 09, 2020","Feb 17, 2020",10000:5965,"Jun 30, 2011","Dec 30, 2019","Mar 30, 2020",5.28%,12.03%,1.80%,2.15%,4.92B,6.12,-16.50%,3.81B,3.18B,260M,0.32,N/A,817M,1.03,5.69B,47.59,1.32,15.12,2.94B,532.62M
lhx,0.75,-15.16%,5.66%,230.99,142.01,185.17,194.99,1.66M,1.63M,215.87M,214.65M,0.48%,86.57%,2.68M,1.62,1.25%,1.24%,3.22M,3.4,2.13%,3.00,1.88%,1.80,36.33%,"Jun 15, 2020","May 31, 2020",10000:9448,"May 10, 2009","Jan 02, 2020","Sep 26, 2019",7.55%,13.85%,N/A,N/A,21.42B,87.07,187.40%,5.36B,4.02B,1.62B,7.35,101.40%,1B,4.64,N/A,34.01,1.41,103.41,2.01B,N/A
wec,0.18,1.97%,5.66%,109.53,68.01,89.76,92.92,1.67M,1.22M,315.44M,314.66M,0.17%,77.62%,5.12M,2.97,1.86%,1.62%,4.43M,2.53,2.89%,2.40,2.75%,3.00,65.29%,"May 31, 2020","May 12, 2020",2:1,"Mar 01, 2011","Dec 30, 2019","Mar 30, 2020",16.08%,22.82%,3.02%,11.32%,7.25B,23.00,-11.30%,2.67B,2.59B,1.17B,3.68,7.70%,15.4M,0.05,12.73B,121.38,0.65,32.79,2.3B,-596.4M
see,1.18,-20.66%,5.66%,45.86,17.06,32.44,31.67,1.34M,1.14M,155.66M,154.65M,0.68%,97.11%,4.78M,4.48,3.51%,3.07%,5.85M,0.64,1.97%,0.64,1.97%,1.47,28.83%,"Jun 18, 2020","Jun 03, 2020",2:1,"Mar 18, 2007","Dec 30, 2019","Mar 30, 2020",6.84%,14.90%,8.35%,N/A,4.85B,31.46,5.50%,1.56B,900M,343.4M,2.14,120.20%,274.6M,1.76,3.96B,N/A,1.14,-1.17,487M,372.68M
wy,1.88,-7.24%,5.66%,31.58,13.10,22.27,23.41,5.85M,4.94M,746.21M,743.79M,0.27%,79.18%,8.33M,1.37,1.31%,1.12%,7.64M,N/A,N/A,1.36,6.02%,4.38,277.55%,"Mar 19, 2020","Mar 04, 2020",2:1,"Jul 19, 2010","Dec 30, 2019","Mar 30, 2020",5.47%,9.99%,2.41%,4.30%,6.64B,8.90,5.20%,1.14B,1.17B,363M,0.49,N/A,1.46B,1.95,7.46B,92.28,1.37,10.83,1.07B,1.18B
bll,0.51,4.49%,5.66%,82.82,51.26,70.80,68.82,1.92M,1.84M,326M,323.23M,0.68%,84.87%,9.78M,4.81,3.49%,3.00%,10.5M,0.6,0.84%,0.60,0.84%,0.79,43.17%,"Jun 14, 2020","May 28, 2020",2:1,"May 16, 2017","Dec 30, 2019","Mar 30, 2020",4.11%,10.55%,4.52%,13.92%,11.47B,34.89,0.00%,2.27B,1.89B,472M,1.40,-80.30%,801M,2.46,8.25B,305.59,1.06,8.07,969M,815.5M
trow,1.16,15.30%,5.66%,139.82,82.51,124.00,118.62,1.3M,1.06M,227.55M,220.17M,1.73%,74.61%,5.35M,4.35,2.37%,2.35%,6.89M,3.6,2.93%,3.18,2.59%,2.69,39.65%,"Jun 29, 2020","Jun 11, 2020",2:1,"Jun 25, 2006","Dec 30, 2019","Mar 30, 2020",34.10%,44.53%,18.73%,25.50%,5.75B,24.50,10.20%,3.23B,2.76B,1.91B,8.02,-33.10%,1.56B,6.87,172.6M,2.33,2.20,28.22,1.73B,1.78B
rf,1.70,-31.31%,5.66%,17.54,6.94,11.66,12.36,12.08M,10.41M,959.68M,956.11M,0.42%,77.07%,23.87M,2.08,2.86%,2.49%,18.83M,0.62,6.31%,0.61,6.15%,2.73,47.64%,"Jun 30, 2020","Jun 03, 2020",12346:10000,"Jun 30, 2004","Dec 30, 2019","Mar 30, 2020",25.99%,33.44%,1.03%,8.22%,5.19B,5.30,-23.60%,5.52B,N/A,1.26B,1.27,-58.90%,4.02B,4.19,13.8B,N/A,N/A,16.73,2.79B,N/A
prgo,1.21,7.13%,5.66%,63.86,40.01,54.70,53.21,872.01k,819.05k,136.31M,135.93M,0.41%,86.44%,3.3M,3.68,3.47%,2.42%,3.17M,0.9,1.66%,0.86,1.58%,0.98,76.64%,"Jun 15, 2020","May 27, 2020",2:1,"Aug 25, 1993","Dec 30, 2019","Mar 27, 2020",3.77%,9.48%,2.63%,3.28%,5B,36.77,14.20%,1.77B,867.2M,188.6M,1.37,66.50%,514.1M,3.77,3.6B,62.18,1.86,42.45,465.1M,-42.69M
luv,1.25,-36.43%,5.66%,58.83,22.47,34.68,40.63,25.62M,14.64M,589.39M,507.09M,0.25%,76.34%,17.91M,0.59,3.88%,3.04%,19.65M,N/A,N/A,0.72,2.28%,0.99,21.24%,"Mar 24, 2020","Mar 02, 2020",3:2,"Feb 15, 2001","Dec 30, 2019","Mar 30, 2020",8.46%,10.85%,5.47%,19.28%,21.51B,40.67,-17.80%,7.02B,3.39B,1.82B,3.44,N/A,5.55B,10.9,6.42B,70.74,0.69,17.84,2.5B,1.02B
msci,0.94,51.28%,5.66%,379.97,206.82,333.25,304.94,581.82k,563.3k,83.6M,80.97M,3.18%,95.44%,883.04k,1.37,1.23%,1.06%,1.21M,2.72,0.73%,2.62,0.70%,1.05,41.99%,"May 28, 2020","May 13, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",33.28%,49.96%,13.89%,N/A,1.6B,18.91,12.20%,1.27B,865.52M,533.58M,6.24,-16.90%,1.07B,12.76,3.35B,N/A,2.03,-4.23,734.42M,544.45M
info,1.01,15.34%,5.66%,81.65,44.81,72.62,70.48,2.13M,1.67M,396.81M,393.62M,6.96%,99.08%,9.07M,4.98,2.57%,2.29%,9.67M,0.68,0.90%,0.34,0.45%,N/A,17.17%,"May 14, 2020","Apr 28, 2020",3:1,"Jul 12, 2016","Nov 29, 2019","May 30, 2020",18.43%,21.08%,3.56%,9.64%,4.34B,10.90,-9.60%,2.76B,1.5B,799.9M,1.97,-52.10%,207.8M,0.52,5.78B,71.13,0.73,20.43,1.04B,943.19M
wm,0.74,-12.04%,5.66%,126.79,85.34,105.42,107.77,2.23M,1.64M,422.02M,420.67M,0.16%,80.14%,3.88M,1.7,0.92%,0.92%,5.2M,2.18,2.14%,2.08,2.04%,2.20,52.72%,"Jun 18, 2020","Jun 03, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",10.87%,17.56%,6.73%,25.60%,15.49B,36.48,0.90%,5.97B,4.33B,1.68B,3.95,4.00%,3.12B,7.41,13.45B,199.44,1.84,15.98,3.75B,1.4B
ppl,0.76,-17.24%,5.66%,36.83,18.12,26.92,29.11,5.71M,4.66M,768.76M,767.91M,0.07%,71.20%,11.81M,1.89,1.54%,1.54%,10.67M,1.66,6.80%,1.65,6.77%,4.87,67.45%,"Jun 30, 2020","Jun 08, 2020",10000:9314,"Jun 01, 2015","Dec 30, 2019","Mar 30, 2020",23.68%,41.13%,4.38%,14.43%,7.74B,10.46,-1.20%,4.36B,4.49B,1.83B,2.45,18.90%,915M,1.19,23.64B,178.52,0.56,17.24,2.64B,-573M
mas,1.47,27.89%,5.66%,51.18,27.04,48.31,43.98,3.31M,2.08M,263.76M,262.1M,0.76%,100.95%,5.54M,1.7,2.41%,2.10%,7.25M,0.54,1.09%,0.39,0.78%,1.17,21.98%,"Aug 09, 2020","Jul 08, 2020",1138:1000,"Jun 30, 2015","Dec 30, 2019","Mar 30, 2020",19.91%,16.12%,13.07%,N/A,6.78B,24.02,4.50%,2.37B,1.25B,656M,4.74,356.90%,767M,2.91,2.93B,N/A,1.83,-1.32,872M,1.02B
rop,1.05,2.77%,5.66%,410.41,240.00,393.35,358.17,605.13k,457.27k,104.4M,103.83M,1.92%,96.24%,1.58M,2.64,1.79%,1.51%,1.97M,2.05,0.52%,1.95,0.49%,0.57,12.52%,"Jul 21, 2020","Jul 06, 2020",2:1,"Aug 28, 2005","Dec 30, 2019","Mar 30, 2020",30.18%,27.65%,5.59%,18.49%,5.43B,52.18,4.90%,3.43B,1.94B,1.64B,15.57,-35.00%,999.8M,9.58,5.28B,55.01,0.96,91.87,1.54B,1.62B
zion,1.70,-29.01%,5.66%,52.48,23.58,34.58,36.61,2.82M,1.7M,163.86M,161.33M,1.53%,102.10%,7.82M,2.71,5.57%,4.77%,10.4M,1.36,4.47%,1.32,4.34%,1.60,41.77%,"May 20, 2020","May 06, 2020",4:1,"May 14, 1997","Dec 30, 2019","Mar 30, 2020",24.36%,33.64%,0.88%,8.19%,2.53B,14.83,-37.40%,2.8B,N/A,579M,3.20,-93.40%,3.14B,19.16,5.84B,N/A,N/A,42.15,892M,N/A
cag,0.78,31.94%,5.66%,36.49,22.83,34.16,32.02,3.5M,2.96M,487.08M,485.99M,0.32%,88.03%,9.66M,2.79,2.58%,1.98%,10.16M,0.85,2.39%,0.85,2.39%,2.56,49.42%,"Jun 02, 2020","Apr 28, 2020",1285:1000,"Nov 09, 2016","May 30, 2020","May 30, 2020",7.60%,16.55%,5.14%,10.92%,11.05B,22.68,25.80%,3.1B,2.22B,840.1M,1.72,59.20%,553.3M,1.13,9.75B,122.60,0.88,16.31,1.84B,1.4B
nflx,0.96,49.68%,5.66%,555.88,252.28,449.52,393.86,7.84M,8.83M,439.8M,433.61M,1.62%,83.49%,11.32M,1.87,2.63%,2.57%,12.92M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,7:1,"Jul 14, 2015","Dec 30, 2019","Mar 30, 2020",10.43%,14.50%,6.23%,31.63%,21.4B,48.82,27.60%,7.72B,3.21B,2.23B,4.94,106.10%,5.15B,11.72,16.27B,193.42,0.82,19.12,-2.25B,11.26B
all,0.88,-16.69%,5.66%,125.92,64.13,96.89,103.07,2.13M,2.63M,314.12M,312.42M,0.42%,80.77%,3.95M,1.92,1.26%,1.26%,3.87M,2.16,2.52%,2.04,2.38%,1.82,17.17%,"Jun 30, 2020","May 27, 2020",2:1,"Jul 01, 1998","Dec 30, 2019","Mar 30, 2020",9.38%,12.76%,3.01%,17.25%,43.76B,134.90,-8.30%,12.49B,6.23B,3.93B,11.92,-57.50%,6.01B,19.13,6.63B,27.44,0.51,70.49,5.44B,2.61B
nue,1.44,-26.76%,5.66%,58.70,27.53,42.24,42.71,2.38M,2.45M,301.14M,299.22M,0.65%,81.57%,3.64M,1.75,1.39%,1.21%,5.24M,1.61,4.15%,1.61,4.14%,2.94,62.21%,"Aug 10, 2020","Jun 28, 2020",2:1,"May 31, 2006","Dec 30, 2019","Apr 03, 2020",3.57%,7.66%,5.89%,8.48%,22.12B,72.72,-7.70%,2.7B,2.48B,783.97M,2.58,-95.90%,1.39B,4.62,4.44B,41.93,3.54,33.77,2.36B,365.46M
aig,1.47,-46.48%,5.66%,58.66,16.07,31.97,35.58,7.33M,7.32M,861.29M,860.16M,0.10%,95.68%,20.28M,2.76,2.36%,2.35%,18.23M,1.28,4.57%,1.28,4.57%,2.32,26.02%,"Jun 28, 2020","Jun 11, 2020",1:20,"Jun 30, 2009","Dec 30, 2019","Mar 30, 2020",8.58%,16.90%,1.07%,7.81%,51.76B,59.06,15.90%,15.38B,14.33B,4.37B,4.96,167.40%,22.19B,25.76,36.71B,59.36,0.71,69.30,34M,620.75M
aap,1.32,-15.40%,5.66%,171.43,71.33,141.31,129.71,963.17k,771.07k,69.1M,68.61M,0.34%,104.09%,1.94M,1.78,3.28%,2.80%,2.11M,1,0.75%,0.43,0.32%,0.18,7.83%,"Jul 02, 2020","Jun 10, 2020",3:2,"Sep 25, 2005","Dec 27, 2019","Apr 17, 2020",4.10%,6.67%,3.40%,10.95%,9.45B,134.65,-8.60%,4.26B,877.58M,387.98M,5.50,-69.40%,1.28B,18.59,4.18B,118.24,1.36,51.39,673.28M,154.06M
rost,0.80,-18.39%,5.66%,124.16,56.30,92.85,98.54,3.22M,2.59M,355.92M,348.37M,2.14%,90.69%,4.13M,1.23,1.18%,1.16%,4.18M,N/A,N/A,0.80,0.94%,0.91,40.70%,"Mar 30, 2020","Mar 15, 2020",2:1,"Jun 11, 2015","Jan 31, 2020","May 01, 2020",6.63%,8.14%,7.25%,30.70%,14.09B,39.59,-51.50%,5.32B,1.51B,933.94M,2.61,N/A,2.67B,7.5,6.29B,223.37,1.75,7.92,604.12M,-65.25M
ksu,0.93,18.21%,5.66%,178.59,92.86,149.32,146.70,1.17M,806.93k,95.02M,94.38M,0.50%,96.10%,1.71M,1.62,2.04%,1.80%,2.02M,1.6,1.12%,1.52,1.06%,1.32,25.50%,"Jul 07, 2020","Jun 04, 2020",1:2,"Jul 12, 2000","Dec 30, 2019","Mar 30, 2020",20.11%,38.39%,7.23%,11.90%,2.92B,29.79,8.40%,1.42B,1.47B,587.7M,5.96,47.70%,91M,0.96,3.3B,69.20,1.32,46.65,1.11B,443.52M
dow,N/A,-19.97%,5.66%,56.25,21.95,41.11,40.06,5.7M,4.12M,740.73M,739.76M,0.08%,70.82%,16.86M,3.07,2.28%,2.28%,17.98M,2.8,6.94%,2.80,7.10%,N/A,N/A,"Jun 11, 2020","May 27, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",-4.01%,8.84%,N/A,-6.86%,41.75B,56.36,-10.90%,6.37B,6.51B,-1.68B,-2.27,-57.00%,3.67B,4.95,20.05B,148.93,1.63,17.42,5.79B,N/A
nke,0.81,9.51%,5.66%,105.62,60.00,99.09,93.19,7.23M,5.43M,1.24B,1.23B,1.17%,85.83%,10.21M,1.37,1.14%,0.66%,11.43M,0.98,1.01%,0.95,0.98%,1.07,59.69%,"Jun 30, 2020","May 28, 2020",2:1,"Dec 23, 2015","May 30, 2020","May 30, 2020",6.79%,8.33%,7.07%,29.70%,37.4B,24.00,-38.00%,16.24B,3.78B,2.54B,1.60,N/A,8.79B,5.65,13.02B,161.58,2.48,5.18,N/A,N/A
azo,0.90,-5.50%,5.66%,1274.41,684.91,1130.25,1054.96,248.23k,175.78k,23.36M,23.19M,0.41%,96.51%,459.17k,1.72,1.97%,1.97%,444.39k,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Apr 20, 1994","Aug 30, 2019","May 08, 2020",12.90%,18.06%,12.02%,N/A,12.07B,508.05,-0.10%,6.37B,2.57B,1.56B,64.01,-15.50%,543.5M,23.27,8.32B,N/A,0.94,-69.93,2.14B,1.28B
wrk,1.50,-22.59%,5.66%,44.39,21.50,28.51,32.24,2.92M,2.3M,259.26M,255.21M,1.51%,85.08%,5.22M,1.68,3.01%,2.01%,6.02M,0.8,3.05%,1.84,7.02%,3.61,56.10%,"May 27, 2020","May 17, 2020",11099:10000,"May 15, 2016","Sep 29, 2019","Mar 30, 2020",4.67%,8.21%,3.03%,7.38%,18.21B,70.58,-3.70%,3.57B,2.95B,849.8M,3.28,-7.70%,640.2M,2.47,11.6B,100.84,1.75,44.30,2.24B,975.52M
abbv,0.82,37.80%,5.66%,100.69,62.55,95.18,87.31,10.11M,6.29M,1.76B,1.47B,0.11%,76.76%,19.76M,1.94,1.12%,1.12%,24.8M,4.72,4.82%,4.50,4.59%,3.96,77.70%,"Aug 13, 2020","Jul 13, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",24.77%,41.01%,11.80%,N/A,34.06B,22.99,10.10%,25.83B,16.04B,8.39B,5.65,22.60%,41.14B,27.86,67.09B,N/A,3.14,-5.02,14.12B,9.26B
qcom,1.36,22.64%,5.66%,96.17,58.00,87.76,81.88,9.47M,6.77M,1.12B,1.12B,0.12%,79.91%,15.39M,1.38,1.37%,1.37%,14.7M,2.6,2.79%,2.48,2.66%,3.58,73.37%,"Jun 24, 2020","Jun 02, 2020",2:1,"Aug 15, 2004","Sep 28, 2019","Mar 28, 2020",16.36%,33.54%,15.73%,117.15%,24.74B,21.07,4.70%,15.67B,9.69B,4.05B,3.41,-29.40%,9.95B,8.84,16.47B,540.85,1.57,2.70,8.34B,4.44B
cost,0.68,16.27%,5.66%,328.98,262.71,306.02,304.16,2.99M,3.06M,441.52M,440.23M,0.23%,71.54%,4.01M,1.18,0.91%,0.91%,4.79M,2.8,0.86%,2.65,0.81%,1.00,31.70%,"May 14, 2020","Apr 29, 2020",2:1,"Jan 13, 2000","Aug 31, 2019","May 09, 2020",2.31%,3.24%,6.82%,23.51%,160.88B,364.41,7.30%,19.82B,6.82B,3.71B,8.36,-7.50%,11.77B,26.67,12.51B,72.73,1.11,38.06,6.91B,2.96B
vmc,0.81,-11.86%,5.66%,152.49,65.56,116.63,119.36,1.42M,1.27M,132.43M,132.05M,0.19%,94.65%,2.76M,1.96,2.35%,2.08%,2.35M,1.36,1.16%,1.27,1.08%,0.77,27.37%,"Jun 04, 2020","May 20, 2020",3:1,"Mar 10, 1999","Dec 30, 2019","Mar 30, 2020",12.34%,17.79%,5.29%,11.45%,4.98B,37.62,5.30%,1.26B,1.24B,618.57M,4.61,-4.80%,120.04M,0.91,3.22B,57.55,2.68,42.21,950.43M,372.95M
dhi,1.62,29.72%,5.66%,62.54,25.51,55.78,50.60,4.29M,3.06M,363.54M,328.94M,8.51%,87.91%,4.65M,1,1.59%,1.28%,6.64M,0.7,1.21%,0.65,1.12%,1.12,12.82%,"May 20, 2020","May 07, 2020",4:3,"Mar 16, 2005","Sep 29, 2019","Mar 30, 2020",10.26%,12.87%,9.24%,18.69%,18.47B,50.04,9.00%,3.65B,2.45B,1.89B,5.07,37.40%,1.48B,4.06,4.43B,41.26,5.28,28.77,958.7M,907.63M
phm,1.34,5.64%,5.66%,47.37,17.12,34.69,34.41,4.06M,3.07M,268.15M,260.93M,3.17%,94.59%,5.44M,1.39,2.31%,2.03%,6.11M,0.48,1.42%,0.45,1.33%,1.47,12.07%,"Jul 01, 2020","Jun 10, 2020",2:1,"Sep 01, 2005","Dec 30, 2019","Mar 30, 2020",10.02%,13.60%,8.26%,20.14%,10.51B,38.56,14.90%,2.41B,1.49B,1.04B,3.82,22.20%,1.83B,6.83,3.82B,69.13,3.90,20.62,1.12B,611.12M
lb,1.23,-40.34%,5.66%,26.95,8.00,15.97,16.67,9.36M,4.69M,277.83M,191.91M,17.58%,81.08%,20.98M,1.93,10.69%,7.55%,23.02M,N/A,N/A,1.20,7.73%,5.52,N/A,"Mar 05, 2020","Feb 19, 2020",2:1,"May 30, 2000","Jan 31, 2020","May 01, 2020",-5.89%,7.26%,5.30%,N/A,11.94B,43.22,-37.10%,5.55B,1.45B,-703M,-2.55,N/A,957M,3.44,9.04B,N/A,1.06,-6.69,967M,441.88M
irm,0.69,-12.07%,5.66%,34.49,21.00,26.87,27.78,3.61M,2.81M,287.88M,284.71M,0.96%,87.56%,56.07M,17.18,26.90%,19.48%,54.64M,2.47,9.45%,2.46,9.39%,6.69,234.19%,"Jul 01, 2020","Jun 11, 2020",1082:1000,"Sep 25, 2014","Dec 30, 2019","Mar 30, 2020",7.05%,19.12%,3.75%,20.04%,4.28B,14.89,1.40%,2.43B,1.45B,301.66M,1.05,116.40%,152.68M,0.53,10.85B,914.75,0.76,3.90,975M,321.43M
mrk,0.49,-5.22%,5.66%,92.64,65.25,78.31,80.80,10.55M,6.87M,2.52B,2.52B,0.08%,78.55%,14.56M,1.31,0.58%,0.58%,18.99M,2.44,3.18%,2.26,2.95%,2.98,58.73%,"Jul 06, 2020","Jun 11, 2020",2:1,"Feb 16, 1999","Dec 30, 2019","Mar 30, 2020",21.10%,32.73%,11.76%,37.55%,48.08B,18.84,11.50%,33.68B,19.06B,10.15B,3.94,10.40%,7.44B,2.95,28B,106.46,1.12,10.38,12.81B,9B
antm,0.95,-16.90%,5.66%,310.78,171.03,273.03,270.32,1.42M,1.01M,252.14M,251.73M,0.17%,92.52%,2.46M,1.74,0.98%,0.98%,3.36M,3.8,1.49%,3.35,1.31%,1.40,18.11%,"Jun 24, 2020","Jun 08, 2020",2:1,"May 31, 2005","Dec 30, 2019","Mar 30, 2020",4.38%,6.31%,5.48%,15.49%,109.17B,429.24,20.10%,22.43B,7.43B,4.78B,18.47,-1.80%,25.8B,102.32,23.11B,72.91,1.53,125.76,6.95B,4.06B
bsx,0.92,-18.30%,5.66%,46.62,24.10,36.17,37.62,11.32M,9.5M,1.43B,1.39B,0.24%,95.35%,18.64M,1.5,1.31%,1.30%,11.2M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Nov 05, 2003","Dec 30, 2019","Mar 30, 2020",39.75%,14.97%,3.74%,37.22%,10.79B,7.74,2.00%,7.63B,2.67B,4.29B,3.04,-97.40%,370M,0.26,10.6B,76.82,1.21,9.86,1.41B,3.35B
nlok,1.14,-11.12%,5.66%,28.70,15.12,20.42,21.07,6.66M,4.48M,600.38M,582.9M,1.02%,97.46%,27.96M,3.66,5.87%,4.75%,26.44M,0.5,2.49%,N/A,N/A,1.73,44.44%,"Jun 23, 2020","Jun 08, 2020",2:1,"Nov 30, 2004","Apr 02, 2020","Apr 02, 2020",156.10%,24.90%,3.27%,20.11%,2.49B,4.05,-48.40%,2.1B,821M,578M,N/A,579.40%,2.26B,3.84,4.32B,43220.00,1.17,N/A,-861M,-563M
mgm,2.19,-44.86%,5.66%,34.64,5.90,18.24,21.03,27.77M,17.61M,492.69M,488.66M,0.77%,86.88%,33.95M,0.98,9.36%,6.88%,31.95M,0.01,0.06%,0.54,3.38%,N/A,9.87%,"Jun 14, 2020","Jun 08, 2020",2:1,"May 18, 2005","Dec 30, 2019","Mar 30, 2020",24.45%,7.20%,1.48%,22.82%,11.55B,22.45,-29.70%,5.3B,2.14B,2.83B,5.48,"2,478.10%",6.02B,12.2,20.54B,153.02,2.89,16.58,987.68M,3.39M
dlr,0.20,23.19%,5.66%,158.36,105.00,142.18,134.64,2.34M,1.28M,268.31M,267.27M,0.33%,89.95%,12.77M,5.7,5.48%,4.76%,12.62M,4.48,3.05%,4.36,2.97%,3.59,156.27%,"Jun 29, 2020","Jun 11, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",21.89%,15.95%,1.11%,5.01%,3.14B,14.81,-9.60%,2.02B,1.58B,600M,2.80,91.80%,246.48M,0.92,13.68B,79.47,0.61,57.00,1.39B,2.26B
spg,1.36,-60.65%,5.66%,164.46,42.25,69.91,91.33,9.23M,6.64M,305.75M,303.02M,0.49%,98.34%,23.13M,2.13,9.95%,7.56%,23.33M,5.2,8.52%,8.35,13.68%,4.75,129.26%,"Jul 23, 2020","Jul 08, 2020",1063:1000,"May 28, 2014","Dec 30, 2019","Mar 30, 2020",35.15%,50.04%,5.45%,69.08%,5.66B,18.43,-0.90%,4.66B,4.17B,1.99B,6.46,-20.20%,3.72B,12.18,28.07B,1030.97,0.84,7.00,3.71B,1.9B
xom,1.34,-44.67%,5.66%,77.74,30.11,46.45,50.23,26.38M,20.24M,4.23B,4.22B,0.08%,56.77%,59.08M,2.33,1.40%,1.40%,59.7M,3.48,8.41%,3.48,8.41%,4.24,130.34%,"Jun 09, 2020","May 11, 2020",2:1,"Jul 18, 2001","Dec 30, 2019","Mar 30, 2020",4.57%,3.48%,1.52%,6.00%,249.07B,58.33,-10.60%,77.15B,28.25B,11.38B,2.66,N/A,11.41B,2.7,59.61B,31.58,0.78,43.06,27.65B,1.31B
exc,0.43,-23.51%,5.66%,50.54,29.28,37.96,40.60,5.97M,4.45M,974.41M,971.86M,0.26%,80.43%,10.09M,1.6,1.04%,1.04%,10.62M,1.53,4.18%,1.47,4.02%,3.47,54.85%,"Jun 09, 2020","May 13, 2020",2:1,"May 05, 2004","Dec 30, 2019","Mar 30, 2020",7.75%,13.23%,2.26%,7.14%,33.71B,34.61,-7.70%,10.27B,9.47B,2.61B,2.68,-35.80%,1.46B,1.5,40.03B,115.63,1.06,33.33,6.7B,-727.88M
adp,0.82,-10.81%,5.66%,182.32,103.11,149.01,152.45,2.2M,1.26M,429.77M,428.91M,0.14%,82.28%,4.25M,1.51,0.99%,0.99%,4.54M,3.64,2.50%,3.40,2.33%,2.10,58.32%,"Jun 30, 2020","Jun 10, 2020",1139:1000,"Sep 30, 2014","Jun 29, 2019","Mar 30, 2020",17.15%,21.85%,4.40%,47.13%,14.76B,34.17,5.70%,6.39B,3.69B,2.53B,5.83,8.90%,1.71B,3.97,2.46B,44.88,1.03,12.77,2.98B,2.44B
